Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,N_Par,Clasificacion
Nivel_Minimo,pH,-0.5729888472196178,-0.7552447552447552,0.5729888472196178,0.7552447552447552,12,No concluyente (n < 30)
Temp_Media_C,Humedad_Relativa,-0.5679169476707837,-0.5232032003004312,0.5679169476707837,0.5232032003004312,528,Moderada
Precipitacion_mm,Humedad_Relativa,0.5674624005718127,0.6362956809141729,0.5674624005718127,0.6362956809141729,528,Moderada
CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),0.5637625184798303,0.36011739134610005,0.5637625184798303,0.36011739134610005,26,No concluyente (n < 30)
DEMANDA QUIMICA DE OXIGENO (DQO),OXIGENO DISUELTO (OD),-0.5634989660318762,-0.5849899248884078,0.5634989660318762,0.5849899248884078,49,Moderada
Temp_Max_C,ACCESO A AGUA POTABLE ADECUADO,0.5620644277437404,0.6910184067105104,0.5620644277437404,0.6910184067105104,528,Moderada
POBLACION TOTAL,TEMPERATURA,0.5544804942160322,0.5878517606815161,0.5544804942160322,0.5878517606815161,50,Moderada
DENSIDAD POBLACIONAL,DEMANDA QUIMICA DE OXIGENO (DQO),0.5535673411786384,0.4468450886766275,0.5535673411786384,0.4468450886766275,49,Moderada
NITROGENO TOTAL,pH,0.5498420480759016,0.66379208673168,0.5498420480759016,0.66379208673168,29,No concluyente (n < 30)
FOSFORO TOTAL,TURBIDEZ,0.5412436869638776,0.45831592712247726,0.5412436869638776,0.45831592712247726,33,Moderada
Temp_Media_C,NITROGENO TOTAL,0.536174430880981,0.7611774906855904,0.536174430880981,0.7611774906855904,29,No concluyente (n < 30)
Temp_Media_C,FOSFORO TOTAL,0.5358548926137648,0.5912837148297452,0.5358548926137648,0.5912837148297452,49,Moderada
VolumenUtilDiarioMasa,COBERTURA DE ALCANTARILLADO URBANO,0.5321854724330795,0.595077465684646,0.5321854724330795,0.595077465684646,336,Moderada
Humedad_Relativa,DEMANDA QUIMICA DE OXIGENO (DQO),-0.5286654022125911,-0.3867823504930152,0.5286654022125911,0.3867823504930152,49,Moderada
DENSIDAD POBLACIONAL,COBERTURA DE ACUEDUCTO RURAL,0.5281133927465498,0.8990755888590045,0.5281133927465498,0.8990755888590045,528,Moderada
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),0.5242774090946274,0.5487548415661999,0.5242774090946274,0.5487548415661999,25,No concluyente (n < 30)
Temp_Min_C,DENSIDAD POBLACIONAL,0.5217972859808142,0.7571819249846923,0.5217972859808142,0.7571819249846923,528,Moderada
Temp_Media_C,CONDUCTIVIDAD ELECTRICA,0.5182849002934562,0.5988906779530515,0.5182849002934562,0.5988906779530515,50,Moderada
Temp_Max_C,COBERTURA DE ACUEDUCTO URBANO,0.515434645808221,0.5391310127459359,0.515434645808221,0.5391310127459359,528,Moderada
Nivel_Minimo,OXIGENO DISUELTO (OD),-0.5117764343346932,0.08391608391608392,0.5117764343346932,0.08391608391608392,12,No concluyente (n < 30)
FOSFORO TOTAL,SOLIDOS SUSPENDIDOS TOTALES,0.5108846534626124,0.5895171991425947,0.5108846534626124,0.5895171991425947,49,Moderada
irca,POBLACION TOTAL,0.5062751976952371,0.30992656739919366,0.5062751976952371,0.30992656739919366,528,Moderada
COBERTURA DE ALCANTARILLADO URBANO,AGUAS RESIDUALES TRATADAS,-0.5045140684561116,-0.6324555320336759,0.5045140684561116,0.6324555320336759,96,Moderada
Anio,OXIGENO DISUELTO (OD),-0.5031956760947406,-0.43984274486175573,0.5031956760947406,0.43984274486175573,50,Moderada
ACCESO A AGUA POTABLE ADECUADO,COBERTURA DE ALCANTARILLADO RURAL,-0.49615043981148427,-0.5798728752256133,0.49615043981148427,0.5798728752256133,528,Débil
COBERTURA DE ACUEDUCTO URBANO,TURBIDEZ,0.49614783017772857,0.6154244410706586,0.49614783017772857,0.6154244410706586,34,Débil
CONDUCTIVIDAD ELECTRICA,TEMPERATURA,0.4951994959704961,0.46236973140844106,0.4951994959704961,0.46236973140844106,50,Débil
FOSFORO TOTAL,TEMPERATURA,0.48871799523926596,0.5158985358630827,0.48871799523926596,0.5158985358630827,49,Débil
COBERTURA DE ACUEDUCTO RURAL,FOSFORO TOTAL,0.4880271344663334,0.5703341366581778,0.4880271344663334,0.5703341366581778,49,Débil
POBLACION TOTAL,TURBIDEZ,0.4872106816250005,0.6197647065320203,0.4872106816250005,0.6197647065320203,34,Débil
VolumenUtilDiarioMasa,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,-0.48531042067309144,-0.33126421547698864,0.48531042067309144,0.33126421547698864,336,Débil
