ONI,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Precipitacion_mm,Radiacion_Solar,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,nivel_de_riesgo
0.33,89.0,5.83,16.7,86.88,8.57,4,0.93,0
0.47,89.0,11.86,15.68,88.51,8.42,5,0.85,0
0.39,89.0,8.64,14.95,88.45,7.83,6,0.93,0
0.29,89.0,4.64,14.31,87.9,7.36,7,1.29,0
-0.11,89.0,6.87,16.45,86.14,7.59,8,1.03,0
-0.39,89.0,4.81,16.45,85.7,7.75,9,0.94,0
-0.51,89.0,8.95,15.79,87.07,8.29,10,0.84,0
-0.9,89.0,8.8,16.58,89.61,9.89,11,0.48,0
-0.88,89.0,2.04,17.83,86.95,5.74,12,0.68,0
-0.81,89.0,2.15,17.01,87.38,7.13,1,0.84,1
-0.63,89.0,0.77,17.9,85.15,7.36,2,0.68,1
-0.7,89.0,3.66,16.24,85.89,7.72,3,1.02,1
-0.39,89.0,10.69,13.96,89.41,9.17,4,0.79,1
-0.09,89.0,11.07,15.2,89.42,8.71,5,0.86,1
0.1,89.0,8.21,14.67,89.1,7.15,6,1.28,1
0.17,89.0,7.72,15.36,88.6,8.06,7,1.32,1
0.14,89.0,6.9,16.72,86.6,6.09,8,1.54,1
0.51,89.0,5.32,16.77,85.4,7.03,9,1.04,1
0.95,89.0,7.48,16.9,87.29,7.38,10,0.63,1
0.96,89.0,5.92,16.0,89.11,8.51,11,0.58,1
0.99,89.0,0.95,19.7,86.61,6.38,12,1.06,1
0.82,89.0,0.92,16.5,86.62,7.35,1,1.18,1
0.86,89.0,1.85,18.13,84.7,9.03,2,1.01,1
0.91,89.0,6.87,14.4,87.73,9.24,3,0.81,1
0.74,89.0,8.11,15.17,88.44,9.58,4,0.69,1
0.66,89.0,11.71,15.21,88.59,9.04,5,0.91,1
0.51,89.0,8.14,15.44,89.21,7.96,6,1.31,1
0.4,89.0,7.41,16.2,88.05,7.66,7,1.39,1
0.09,89.0,5.37,15.39,86.82,6.98,8,1.43,1
0.07,89.0,5.92,16.67,85.18,6.84,9,1.1,1
0.53,89.0,8.5,16.54,86.26,7.76,10,0.83,1
0.58,89.0,10.0,16.67,90.14,9.31,11,0.68,1
0.63,89.0,2.59,16.7,88.65,9.68,12,0.87,1
0.78,89.0,0.94,19.04,86.58,5.26,1,1.1,0
0.52,89.0,3.92,20.31,84.88,5.14,2,1.17,0
0.58,89.0,3.92,17.52,85.82,6.06,3,0.82,0
0.48,89.0,6.1,16.21,86.71,8.62,4,0.9,0
-0.16,89.0,6.51,15.35,87.93,9.09,5,1.13,0
-0.28,89.0,13.84,15.9,88.05,8.04,6,1.23,0
-0.25,89.0,8.9,15.32,87.61,7.81,7,1.19,0
-0.54,89.0,4.83,15.48,86.28,7.1,8,1.05,0
-0.79,89.0,5.55,17.09,85.15,7.92,9,0.98,0
-1.2,89.0,1.65,16.8,83.78,7.12,10,0.99,0
-1.36,89.0,1.66,15.77,87.07,9.63,11,0.48,0
-1.05,89.0,2.82,17.8,85.69,7.23,12,0.73,0
-0.82,89.0,2.96,18.94,84.68,5.98,1,0.96,0
-0.85,89.0,3.43,17.03,85.95,8.82,2,0.83,0
-0.69,89.0,3.49,14.73,86.32,8.62,3,0.77,0
-0.6,89.0,4.89,16.76,86.45,8.73,4,1.0,0
-0.35,89.0,0.07,15.67,86.09,8.46,5,1.12,0
-0.22,89.0,2.6,16.14,85.11,7.08,6,1.23,0
-0.34,89.0,0.48,15.22,82.81,7.09,7,1.6,0
-0.48,89.0,0.48,15.74,79.13,7.93,8,1.26,0
-0.52,89.0,2.34,16.77,78.41,7.52,9,1.27,0
-0.89,89.0,2.43,16.9,82.12,9.04,10,0.85,0
-0.89,89.0,1.95,17.98,82.17,9.2,11,0.76,0
-0.96,89.0,1.54,17.43,83.2,9.24,12,0.81,0
-0.77,91.0,1.15,18.12,78.01,8.36,1,0.88,0
-0.74,91.0,3.99,15.71,81.75,8.09,2,0.82,0
-0.87,91.0,5.57,16.2,86.61,9.28,3,0.79,0
-0.99,91.0,9.29,14.92,86.6,8.09,4,0.92,0
-1.0,91.0,13.38,15.73,88.29,8.25,5,1.04,0
-0.69,91.0,8.79,15.09,88.37,7.77,6,0.92,0
-0.65,91.0,9.73,15.76,87.9,7.75,7,1.19,0
-0.93,91.0,6.83,16.14,86.77,6.99,8,1.17,0
-1.03,91.0,6.03,16.38,85.53,8.07,9,0.98,0
-0.94,91.0,8.15,16.42,87.33,7.69,10,0.75,0
-0.85,91.0,6.2,14.95,90.0,9.97,11,0.54,0
-0.75,91.0,2.47,18.3,87.0,6.57,12,0.76,0
-0.55,46.51,6.35,17.13,87.54,4.61,1,0.81,0
-0.31,46.51,1.45,19.16,85.43,5.59,2,1.08,0
-0.01,46.51,4.53,14.82,87.92,9.57,3,0.72,0
0.25,46.51,7.98,14.43,88.52,9.02,4,0.81,0
0.57,46.51,9.41,16.56,88.07,9.23,5,1.07,0
0.89,46.51,7.57,16.33,87.92,7.27,6,1.52,0
1.07,46.51,6.88,15.62,88.22,8.28,7,1.63,0
1.39,46.51,5.49,17.36,85.64,6.99,8,1.37,0
1.64,46.51,5.77,17.38,85.29,8.44,9,1.24,0
1.77,46.51,7.41,17.15,85.82,8.19,10,0.77,0
2.08,46.51,5.84,16.83,87.27,9.69,11,0.9,0
2.13,46.51,5.16,16.66,88.87,8.89,12,0.85,0
1.98,90.72,0.23,21.32,83.31,7.01,1,1.24,0
1.67,90.72,1.8,17.32,84.74,9.24,2,1.02,0
1.22,90.72,2.98,16.36,83.94,9.01,3,1.05,0
0.89,90.72,6.45,16.31,84.91,8.51,4,1.0,0
0.34,90.72,12.67,15.42,88.54,10.17,5,1.09,0
0.23,90.72,8.46,15.61,88.68,8.08,6,1.16,0
0.09,90.72,5.13,15.39,88.5,6.9,7,1.45,0
-0.07,90.72,2.71,17.08,85.31,7.23,8,1.32,0
-0.22,90.72,3.29,16.4,84.43,7.85,9,1.31,0
-0.22,90.72,7.14,18.16,85.91,7.66,10,1.05,0
-0.19,90.72,7.64,14.64,89.14,7.29,11,0.69,0
-0.49,90.72,4.91,16.52,88.44,8.15,12,0.76,0
-0.56,90.72,2.71,18.69,86.14,6.5,1,1.07,0
-0.28,90.72,2.72,15.67,87.53,9.14,2,0.86,0
0.11,90.72,7.84,15.65,88.37,8.46,3,0.81,0
-0.02,90.72,18.19,15.88,88.9,8.05,4,0.91,0
-0.02,90.72,10.84,15.28,90.22,9.55,5,1.18,0
-0.01,90.72,12.39,14.84,89.65,7.23,6,1.36,0
-0.1,90.72,5.07,15.3,88.82,7.89,7,1.55,0
-0.32,90.72,6.64,16.45,88.21,8.1,8,1.41,0
-0.43,90.72,4.52,16.52,87.19,8.4,9,1.36,0
-0.45,90.72,7.09,15.33,88.6,7.85,10,0.93,0
-0.64,90.72,3.96,15.21,88.54,9.03,11,0.87,0
-0.57,90.72,1.95,16.92,88.09,6.82,12,0.74,0
