Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
323,Villapinzon_Alta,2023-12-01,2024-11-01,2024-12-01,Prueba,323,492346400.0,399603205.1803754,92743194.8196246,92743194.8196246,18.83698039015307
324,Villapinzon_Alta,2024-01-01,2024-12-01,2025-01-01,Prueba,324,478472860.0,402318891.4886808,76153972.51131922,76153972.51131922,15.916048378308705
325,Villapinzon_Alta,2024-02-01,2025-01-01,2025-02-01,Prueba,325,453861340.0,406862920.19125354,46998423.80874646,46998423.80874646,10.35523831894052
326,Villapinzon_Alta,2024-03-01,2025-02-01,2025-03-01,Prueba,326,431913250.0,409646311.3941561,22266936.6058439,22266936.6058439,5.155418758038166
327,Villapinzon_Alta,2024-04-01,2025-03-01,2025-04-01,Prueba,327,410084320.0,407878129.3481554,2206190.6518446207,2206190.6518446207,0.5379846398039849
328,Villapinzon_Alta,2024-05-01,2025-04-01,2025-05-01,Prueba,328,404057540.0,412474616.4173684,-8417080.417368412,8417080.417368412,2.083139074868885
329,Villapinzon_Alta,2024-06-01,2025-05-01,2025-06-01,Prueba,329,420179940.0,415210034.6160769,4969901.383923113,4969901.383923113,1.1828031179297227
330,Villapinzon_Alta,2024-07-01,2025-06-01,2025-07-01,Prueba,330,431375580.0,416571916.6801335,14803667.319866478,14803667.319866478,3.4317350978924384
331,Villapinzon_Alta,2024-08-01,2025-07-01,2025-08-01,Prueba,331,436014400.0,418776831.56814384,17237568.431856155,17237568.431856155,3.9534401689155576
332,Villapinzon_Alta,2024-09-01,2025-08-01,2025-09-01,Prueba,332,420453920.0,421391906.3039404,-937986.3039404154,937986.3039404154,0.22308896631060435
333,Villapinzon_Alta,2024-10-01,2025-09-01,2025-10-01,Prueba,333,406067140.0,423085737.60216004,-17018601.602160037,17018601.602160037,4.191080758172963
334,Villapinzon_Alta,2024-11-01,2025-10-01,2025-11-01,Prueba,334,415953200.0,427851729.6206139,-11898513.620613873,11898513.620613873,2.8605413212176902
335,Villapinzon_Alta,2024-12-01,2025-11-01,2025-12-01,Prueba,335,425201800.0,432145054.5766695,-6943262.576669514,6943262.576669514,1.6329335170510086
