Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
48,Bogota_Sabana,2022-01-01,2022-12-01,2023-01-01,Train,48,555273340.0,446781130.26124114,108492213.73875886,108492213.73875886,19.538523667860215
49,Bogota_Sabana,2022-02-01,2023-01-01,2023-02-01,Train,49,540964800.0,438442116.03673345,102522683.96326655,102522683.96326655,18.951821627445362
50,Bogota_Sabana,2022-03-01,2023-02-01,2023-03-01,Train,50,544803000.0,428740974.33432573,116062033.66567427,116062033.66567427,21.303486207196983
51,Bogota_Sabana,2022-04-01,2023-03-01,2023-04-01,Train,51,558005500.0,423176207.71769965,134829296.28230035,134829296.28230035,24.16271798679254
52,Bogota_Sabana,2022-05-01,2023-04-01,2023-05-01,Train,52,563669570.0,421544789.0957404,142124778.90425962,142124778.90425962,25.214201186795243
53,Bogota_Sabana,2022-06-01,2023-05-01,2023-06-01,Train,53,577965060.0,409901072.57237667,168063983.42762333,168063983.42762333,29.078571737669783
54,Bogota_Sabana,2022-07-01,2023-06-01,2023-07-01,Train,54,597035300.0,410877196.1018789,186158131.89812112,186158131.89812112,31.18042152073807
55,Bogota_Sabana,2022-08-01,2023-07-01,2023-08-01,Train,55,619585600.0,412348756.1593006,207236843.84069937,207236843.84069937,33.447653373593475
56,Bogota_Sabana,2022-09-01,2023-08-01,2023-09-01,Train,56,614449340.0,408039389.3955219,206409954.60447812,206409954.60447812,33.592672304078185
57,Bogota_Sabana,2022-10-01,2023-09-01,2023-10-01,Train,57,599453800.0,399112220.0582695,200341603.9417305,200341603.9417305,33.42068995488308
58,Bogota_Sabana,2022-11-01,2023-10-01,2023-11-01,Validacion,58,594481660.0,388356811.74013036,206124852.25986964,206124852.25986964,34.67303783146954
59,Bogota_Sabana,2022-12-01,2023-11-01,2023-12-01,Validacion,59,580021800.0,385735350.4563429,194286473.54365712,194286473.54365712,33.49640746339522
60,Bogota_Sabana,2023-01-01,2023-12-01,2024-01-01,Validacion,60,554029630.0,384757952.00964165,169271679.99035835,169271679.99035835,30.55282068204582
61,Bogota_Sabana,2023-02-01,2024-01-01,2024-02-01,Validacion,61,525531650.0,385752226.9026561,139779421.09734392,139779421.09734392,26.597717117379755
62,Bogota_Sabana,2023-03-01,2024-02-01,2024-03-01,Validacion,62,500117660.0,382445073.1664617,117672590.8335383,117672590.8335383,23.528981138634265
63,Bogota_Sabana,2023-04-01,2024-03-01,2024-04-01,Validacion,63,474841700.0,380291383.01607066,94550312.98392934,94550312.98392934,19.91196514131087
64,Bogota_Sabana,2023-05-01,2024-04-01,2024-05-01,Validacion,64,467863200.0,377379685.1340827,90483514.86591733,90483514.86591733,19.33973752710564
65,Bogota_Sabana,2023-06-01,2024-05-01,2024-06-01,Validacion,65,486531520.0,376140027.26732904,110391492.73267096,110391492.73267096,22.689484276922276
66,Bogota_Sabana,2023-07-01,2024-06-01,2024-07-01,Validacion,66,499495100.0,379445967.82565594,120049136.17434406,120049136.17434406,24.034096673416855
67,Bogota_Sabana,2023-08-01,2024-07-01,2024-08-01,Validacion,67,504866460.0,385775839.11005485,119090624.88994515,119090624.88994515,23.58853942216791
68,Bogota_Sabana,2023-09-01,2024-08-01,2024-09-01,Validacion,68,486848770.0,391378309.93653435,95470458.06346565,95470458.06346565,19.60987976937135
69,Bogota_Sabana,2023-10-01,2024-09-01,2024-10-01,Validacion,69,470190180.0,395175328.22596467,75014847.77403533,75014847.77403533,15.954150384893481
70,Bogota_Sabana,2023-11-01,2024-10-01,2024-11-01,Validacion,70,481637380.0,395514425.3312522,86122950.66874778,86122950.66874778,17.881284750780594
71,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01,Prueba,71,492346400.0,397941097.4801242,94405302.51987582,94405302.51987582,19.1745694738249
72,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01,Prueba,72,478472860.0,402261095.7568172,76211768.24318278,76211768.24318278,15.928127586182772
73,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01,Prueba,73,453861340.0,403138561.3777873,50722782.62221271,50722782.62221271,11.1758322872751
74,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01,Prueba,74,431913250.0,404297965.8307809,27615282.169219077,27615282.169219077,6.393710379825875
75,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01,Prueba,75,410084320.0,409308976.9467879,775343.0532121062,775343.0532121062,0.18906917806857532
76,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01,Prueba,76,404057540.0,409134475.35626054,-5076939.356260538,5076939.356260538,1.2564892135214472
77,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01,Prueba,77,420179940.0,410289084.20666635,9890851.79333365,9890851.79333365,2.3539562330110044
78,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01,Prueba,78,431375580.0,412379216.80206543,18996367.197934568,18996367.197934568,4.4036723223386165
79,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01,Prueba,79,436014400.0,413648202.39484763,22366197.60515237,22366197.60515237,5.129692415010231
80,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01,Prueba,80,420453920.0,416172115.9204606,4281804.079539418,4281804.079539418,1.0183765392268
81,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01,Prueba,81,406067140.0,418111179.7027984,-12044043.702798426,12044043.702798426,2.9660227669343886
82,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01,Prueba,82,415953200.0,416833594.5928557,-880378.5928556919,880378.5928556919,0.21165327228908645
83,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01,Prueba,83,425201800.0,428254282.41099614,-3052490.410996139,3052490.410996139,0.7178921792963984
84,Sopo_Sur,2018-01-01,2018-12-01,2019-01-01,Train,84,375310880.0,406709136.77695274,-31398256.776952744,31398256.776952744,8.365933003848102
85,Sopo_Sur,2018-02-01,2019-01-01,2019-02-01,Train,85,349228900.0,406703631.1720507,-57474735.172050714,57474735.172050714,16.4576115637495
86,Sopo_Sur,2018-03-01,2019-02-01,2019-03-01,Train,86,322214620.0,407728510.25177604,-85513886.25177604,85513886.25177604,26.539418102815855
87,Sopo_Sur,2018-04-01,2019-03-01,2019-04-01,Train,87,308249470.0,403646140.4887639,-95396668.48876393,95396668.48876393,30.94787733773115
88,Sopo_Sur,2018-05-01,2019-04-01,2019-05-01,Train,88,307606180.0,399617798.8148999,-92011622.81489992,92011622.81489992,29.912150663353366
89,Sopo_Sur,2018-06-01,2019-05-01,2019-06-01,Train,89,321782800.0,398224448.59935975,-76441664.59935975,76441664.59935975,23.755672584198834
90,Sopo_Sur,2018-07-01,2019-06-01,2019-07-01,Train,90,366243800.0,401461594.56388533,-35217786.56388533,35217786.56388533,9.615940473152062
91,Sopo_Sur,2018-08-01,2019-07-01,2019-08-01,Train,91,390054880.0,404728867.77878475,-14673987.778784752,14673987.778784752,3.7620315835517175
92,Sopo_Sur,2018-09-01,2019-08-01,2019-09-01,Train,92,399258660.0,408373196.9835682,-9114540.983568192,9114540.983568192,2.282866218827374
93,Sopo_Sur,2018-10-01,2019-09-01,2019-10-01,Train,93,392567870.0,408094451.61847556,-15526579.618475556,15526579.618475556,3.955132532719223
94,Sopo_Sur,2018-11-01,2019-10-01,2019-11-01,Train,94,385040670.0,405276710.1949127,-20236038.194912672,20236038.194912672,5.255558611458239
95,Sopo_Sur,2018-12-01,2019-11-01,2019-12-01,Train,95,381478340.0,402571687.81267077,-21093351.812670767,21093351.812670767,5.52937082452587
96,Sopo_Sur,2019-01-01,2019-12-01,2020-01-01,Train,96,365105630.0,405632402.8325542,-40526770.83255422,40526770.83255422,11.100012511599443
97,Sopo_Sur,2019-02-01,2020-01-01,2020-02-01,Train,97,341265630.0,406273014.7684559,-65007382.76845592,65007382.76845592,19.04890990266958
98,Sopo_Sur,2019-03-01,2020-02-01,2020-03-01,Train,98,318710100.0,409407162.5494327,-90697050.5494327,90697050.5494327,28.45753778575833
99,Sopo_Sur,2019-04-01,2020-03-01,2020-04-01,Train,99,300844160.0,403004011.3087864,-102159851.30878639,102159851.30878639,33.95773124157916
100,Sopo_Sur,2019-05-01,2020-04-01,2020-05-01,Train,100,290141860.0,400438215.7499197,-110296359.74991971,110296359.74991971,38.01463231486316
101,Sopo_Sur,2019-06-01,2020-05-01,2020-06-01,Train,101,294335740.0,407854026.31306976,-113518282.31306976,113518282.31306976,38.56761695686874
102,Sopo_Sur,2019-07-01,2020-06-01,2020-07-01,Train,102,323125500.0,411175103.8120399,-88049599.81203991,88049599.81203991,27.249350089072482
103,Sopo_Sur,2019-08-01,2020-07-01,2020-08-01,Train,103,336433600.0,413926967.8252231,-77493367.82522309,77493367.82522309,23.03377778712444
104,Sopo_Sur,2019-09-01,2020-08-01,2020-09-01,Train,104,328335330.0,417813449.4932159,-89478121.49321592,89478121.49321592,27.252054184439125
105,Sopo_Sur,2019-10-01,2020-09-01,2020-10-01,Train,105,314703550.0,420151976.3982566,-105448424.3982566,105448424.3982566,33.507224093313255
106,Sopo_Sur,2019-11-01,2020-10-01,2020-11-01,Train,106,321075170.0,424366021.1067678,-103290853.10676777,103290853.10676777,32.17030259617205
107,Sopo_Sur,2019-12-01,2020-11-01,2020-12-01,Train,107,333583680.0,435096261.00047916,-101512581.00047916,101512581.00047916,30.430919462390715
108,Sopo_Sur,2020-01-01,2020-12-01,2021-01-01,Train,108,318859500.0,434638061.0069756,-115778573.00697559,115778573.00697559,36.31021731019514
109,Sopo_Sur,2020-02-01,2021-01-01,2021-02-01,Train,109,300381760.0,430994157.80358064,-130612397.80358064,130612397.80358064,43.4821334702815
110,Sopo_Sur,2020-03-01,2021-02-01,2021-03-01,Train,110,294729820.0,429688898.80995655,-134959074.80995655,134959074.80995655,45.79077644003769
111,Sopo_Sur,2020-04-01,2021-03-01,2021-04-01,Train,111,296661380.0,436483275.2171062,-139821899.21710622,139821899.21710622,47.1318177992629
112,Sopo_Sur,2020-05-01,2021-04-01,2021-05-01,Train,112,321908600.0,437911903.2867651,-116003295.2867651,116003295.2867651,36.03609608562102
113,Sopo_Sur,2020-06-01,2021-05-01,2021-06-01,Train,113,359512220.0,437158404.0698637,-77646180.06986368,77646180.06986368,21.597646724208097
114,Sopo_Sur,2020-07-01,2021-06-01,2021-07-01,Train,114,393645380.0,436578847.70253795,-42933471.702537954,42933471.702537954,10.906636866614168
115,Sopo_Sur,2020-08-01,2021-07-01,2021-08-01,Train,115,434575580.0,440942254.90333116,-6366670.903331161,6366670.903331161,1.4650318926640757
116,Sopo_Sur,2020-09-01,2021-08-01,2021-09-01,Train,116,456232800.0,441167810.29070324,15064989.709296763,15064989.709296763,3.3020400351085595
117,Sopo_Sur,2020-10-01,2021-09-01,2021-10-01,Train,117,461579260.0,439511967.5891336,22067296.41086638,22067296.41086638,4.780824905268357
118,Sopo_Sur,2020-11-01,2021-10-01,2021-11-01,Train,118,481237600.0,436672992.4659247,44564607.53407532,44564607.53407532,9.26041679496268
119,Sopo_Sur,2020-12-01,2021-11-01,2021-12-01,Train,119,474543580.0,433948887.99974555,40594696.00025445,40594696.00025445,8.554471574154599
120,Sopo_Sur,2021-01-01,2021-12-01,2022-01-01,Train,120,453196060.0,433781478.7149443,19414585.285055697,19414585.285055697,4.283926279875127
121,Sopo_Sur,2021-02-01,2022-01-01,2022-02-01,Train,121,432436300.0,433995482.6733601,-1559194.6733601093,1559194.6733601093,0.3605605534566307
122,Sopo_Sur,2021-03-01,2022-02-01,2022-03-01,Train,122,419985400.0,430170828.31558913,-10185420.31558913,10185420.31558913,2.4251843329730947
123,Sopo_Sur,2021-04-01,2022-03-01,2022-04-01,Train,123,408355520.0,432533887.34407055,-24178367.344070554,24178367.344070554,5.920911108063521
124,Sopo_Sur,2021-05-01,2022-04-01,2022-05-01,Train,124,454864350.0,439540826.0962414,15323525.903758585,15323525.903758585,3.3688122264104323
125,Sopo_Sur,2021-06-01,2022-05-01,2022-06-01,Train,125,498158200.0,441757187.842215,56401020.157785,56401020.157785,11.321909235265476
126,Sopo_Sur,2021-07-01,2022-06-01,2022-07-01,Train,126,532957100.0,442031545.0843089,90925542.91569108,90925542.91569108,17.060574849825635
127,Sopo_Sur,2021-08-01,2022-07-01,2022-08-01,Train,127,550557800.0,440048911.46973777,110508912.53026223,110508912.53026223,20.072171843345238
